"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1262","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","31","Found 'DD'-anomaly for variable 'alarmContentTokenizer' (lines '31'-'52').","Controversial Rules","DataflowAnomalyAnalysis"
"1263","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","32","Avoid excessively long variable names like alarmContentTokenizer1","Naming Rules","LongVariable"
"1264","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","32","Found 'DD'-anomaly for variable 'alarmContentTokenizer1' (lines '32'-'59').","Controversial Rules","DataflowAnomalyAnalysis"
"1265","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","33","Avoid excessively long variable names like alarmContentTokenizer2","Naming Rules","LongVariable"
"1266","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","33","Found 'DD'-anomaly for variable 'alarmContentTokenizer2' (lines '33'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"1267","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","34","Avoid excessively long variable names like alarmContentTokenizer3","Naming Rules","LongVariable"
"1268","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","34","Found 'DD'-anomaly for variable 'alarmContentTokenizer3' (lines '34'-'66').","Controversial Rules","DataflowAnomalyAnalysis"
"1269","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","35","Avoid excessively long variable names like alarmContentTokenizer4","Naming Rules","LongVariable"
"1270","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","35","Found 'DD'-anomaly for variable 'alarmContentTokenizer4' (lines '35'-'69').","Controversial Rules","DataflowAnomalyAnalysis"
"1271","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","36","Local variable 'additionalText' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1272","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","43","Local variable 'date' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1273","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","44","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"1274","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","51","Local variable 'alContent' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1275","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","55","Avoid concatenating nonliterals in a StringBuffer constructor or append().","String and StringBuffer Rules","InefficientStringBuffering"
"1276","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","80","Avoid concatenating nonliterals in a StringBuffer constructor or append().","String and StringBuffer Rules","InefficientStringBuffering"
"1277","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","104","Avoid concatenating nonliterals in a StringBuffer constructor or append().","String and StringBuffer Rules","InefficientStringBuffering"
"1278","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/ClearAllEventsNotification.java","3","5","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"1279","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","19","The class 'SnmpSupervisionPduTranslationProcessor' has a Cyclomatic Complexity of 10 (Highest = 17).","Code Size Rules","CyclomaticComplexity"
"1280","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","27","Avoid unused private fields such as 'timeformat'.","Unused Code Rules","UnusedPrivateField"
"1281","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","1","27","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"1282","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","27","When instantiating a SimpleDateFormat object, specify a Locale","Design Rules","SimpleDateFormatNeedsLocale"
"1283","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"1284","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","32","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"1285","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","33","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"1286","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","33","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"1287","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"1288","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","33","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"1289","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","36","Avoid excessively long variable names like mibCachingInterface","Naming Rules","LongVariable"
"1290","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","36","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"1291","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","38","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"1292","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","38","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"1293","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","38","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"1294","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","38","Parameter 'exchange' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"1295","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","38","The method 'process' has a Cyclomatic Complexity of 17.","Code Size Rules","CyclomaticComplexity"
"1296","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","38","The method process() has an NPath complexity of 213","Code Size Rules","NPathComplexity"
"1297","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","53","Found 'DU'-anomaly for variable 'sourcetype' (lines '53'-'150').","Controversial Rules","DataflowAnomalyAnalysis"
"1298","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","53","Local variable 'sourcetype' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1299","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","55","Local variable 'type' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1300","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","57","Found 'DD'-anomaly for variable 'eventNotification' (lines '57'-'101').","Controversial Rules","DataflowAnomalyAnalysis"
"1301","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","57","Found 'DD'-anomaly for variable 'eventNotification' (lines '57'-'78').","Controversial Rules","DataflowAnomalyAnalysis"
"1302","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","57","Found 'DD'-anomaly for variable 'eventNotification' (lines '57'-'98').","Controversial Rules","DataflowAnomalyAnalysis"
"1303","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","58","Found 'DD'-anomaly for variable 'isInform' (lines '58'-'65').","Controversial Rules","DataflowAnomalyAnalysis"
"1304","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","58","Found 'DU'-anomaly for variable 'isInform' (lines '58'-'150').","Controversial Rules","DataflowAnomalyAnalysis"
"1305","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","60","Found 'DD'-anomaly for variable 'processNext' (lines '60'-'69').","Controversial Rules","DataflowAnomalyAnalysis"
"1306","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","60","Found 'DU'-anomaly for variable 'processNext' (lines '60'-'150').","Controversial Rules","DataflowAnomalyAnalysis"
"1307","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","61","Local variable 'snmpPDU' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1308","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","64","Local variable 'agentport' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1309","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","67","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"1310","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","5","69","Found 'DU'-anomaly for variable 'processNext' (lines '69'-'150').","Controversial Rules","DataflowAnomalyAnalysis"
"1311","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","77","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"1312","com.ericsson.oss.mediation.translator.processor","src/main/java/com/ericsson/oss/mediation/translator/processor/SnmpSupervisionPduTranslationProcessor.java","3","89","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
